title,authors,abstract
On the Prospects of a de Broglie-Bohm-Barbour-Bertotti Theory,"Authors:Antonio Vassallo,Pedro Naranjo",Abstract:Pure shape dynamics (PSD) is a novel implementation of the relational framework originally proposed by Julian Barbour and Bruno Bertotti. PSD represents a Leibnizian/Machian approach to physics in that it completely describes the dynamical evolution of a physical system without resorting to any structure external to the system itself. The chapter discusses how PSD effectively describes a de Brogli…▽ MorePure shape dynamics (PSD) is a novel implementation of the relational framework originally proposed by Julian Barbour and Bruno Bertotti. PSD represents a Leibnizian/Machian approach to physics in that it completely describes the dynamical evolution of a physical system without resorting to any structure external to the system itself. The chapter discusses how PSD effectively describes a de Broglie-Bohm N-body system and the conceptual benefits of such a relational description. The analysis will highlight the new directions in the quest for an understanding of the nature of the wave function that are opened up by a modern relationalist elaboration on de Broglie's and Bohm's original insights.△ Less
BioInstruct: Instruction Tuning of Large Language Models for Biomedical Natural Language Processing,"Authors:Hieu Tran,Zhichao Yang,Zonghai Yao,Hong Yu","Abstract:To enhance the performance of large language models (LLMs) in biomedical natural language processing (BioNLP) by introducing a domain-specific instruction dataset and examining its impact when combined with multi-task learning principles. We created the BioInstruct, comprising 25,005 instructions to instruction-tune LLMs(LLaMA 1 & 2, 7B & 13B version). The instructions were created by prompting th…▽ MoreTo enhance the performance of large language models (LLMs) in biomedical natural language processing (BioNLP) by introducing a domain-specific instruction dataset and examining its impact when combined with multi-task learning principles. We created the BioInstruct, comprising 25,005 instructions to instruction-tune LLMs(LLaMA 1 & 2, 7B & 13B version). The instructions were created by prompting the GPT-4 language model with three-seed samples randomly drawn from an 80 human curated instructions. We employed Low-Rank Adaptation(LoRA) for parameter-efficient fine-tuning. We then evaluated these instruction-tuned LLMs on several BioNLP tasks, which can be grouped into three major categories: question answering(QA), information extraction(IE), and text generation(GEN). We also examined whether categories(e.g., QA, IE, and generation) of instructions impact model performance. Comparing with LLMs without instruction-tuned, our instruction-tuned LLMs demonstrated marked performance gains: 17.3% in QA, 5.7% in IE, and 96% in Generation tasks. Our 7B-parameter instruction-tuned LLaMA 1 model was competitive or even surpassed other LLMs in the biomedical domain that were also fine-tuned from LLaMA 1 with vast domain-specific data or a variety of tasks. Our results also show that the performance gain is significantly higher when instruction fine-tuning is conducted with closely related tasks. Our findings align with the observations of multi-task learning, suggesting the synergies between two tasks. The BioInstruct dataset serves as a valuable resource and instruction tuned LLMs lead to the best performing BioNLP applications.△ Less"
Exploring the Emotional Landscape of Music: An Analysis of Valence Trends and Genre Variations in Spotify Music Data,"Authors:Shruti Dutta,Shashwat Mookherjee","Abstract:This paper conducts an intricate analysis of musical emotions and trends using Spotify music data, encompassing audio features and valence scores extracted through the Spotipi API. Employing regression modeling, temporal analysis, mood transitions, and genre investigation, the study uncovers patterns within music-emotion relationships. Regression models linear, support vector, random forest, and r…▽ MoreThis paper conducts an intricate analysis of musical emotions and trends using Spotify music data, encompassing audio features and valence scores extracted through the Spotipi API. Employing regression modeling, temporal analysis, mood transitions, and genre investigation, the study uncovers patterns within music-emotion relationships. Regression models linear, support vector, random forest, and ridge, are employed to predict valence scores. Temporal analysis reveals shifts in valence distribution over time, while mood transition exploration illuminates emotional dynamics within playlists. The research contributes to nuanced insights into music's emotional fabric, enhancing comprehension of the interplay between music and emotions through years.△ Less"
Nanostructured Superconductors,Authors:Wolfgang Lang,"Abstract:The relevant length scales for superconductivity are of the order of nanometers. By confining the superconducting condensate to such dimensions, many physical properties change substantially, and novel phenomena emerge, which are absent in the pristine material. We discuss various methods of creating artificial nanostructures by top-down approaches in metallic and copper-oxide superconductors and…▽ MoreThe relevant length scales for superconductivity are of the order of nanometers. By confining the superconducting condensate to such dimensions, many physical properties change substantially, and novel phenomena emerge, which are absent in the pristine material. We discuss various methods of creating artificial nanostructures by top-down approaches in metallic and copper-oxide superconductors and their applications. Such nanostructures can be used to control magnetic flux quanta in superconductors, anchoring them to engineered defects to avoid dissipation, guiding their motion, or building artificial flux-quanta arrangements. Nanopatterned superconductors are essential for creating model systems for basic research and enable building almost dissipationless and ultrafast electronic devices and highly sensitive sensors.△ Less"
What you see is what you get: Experience ranking with deep neural dataset-to-dataset similarity for topological localisation,"Authors:Matthew Gadd,Benjamin Ramtoula,Daniele De Martini,Paul Newman","Abstract:…to performance when localising using a past experience with the same appearance gap. We validate our approach over the Nordland cross-season dataset as well as data fromOxford'sUniversity Parks with lighting and mild seasonal change, showing excellent ability of our system to rank actual localisation performance across candidate experiences.▽ MoreRecalling the most relevant visual memories for localisation or understanding a priori the likely outcome of localisation effort against a particular visual memory is useful for efficient and robust visual navigation. Solutions to this problem should be divorced from performance appraisal against ground truth - as this is not available at run-time - and should ideally be based on generalisable environmental observations. For this, we propose applying the recently developed Visual DNA as a highly scalable tool for comparing datasets of images - in this work, sequences of map and live experiences. In the case of localisation, important dataset differences impacting performance are modes of appearance change, including weather, lighting, and season. Specifically, for any deep architecture which is used for place recognition by matching feature volumes at a particular layer, we use distribution measures to compare neuron-wise activation statistics between live images and multiple previously recorded past experiences, with a potentially large seasonal (winter/summer) or time of day (day/night) shift. We find that differences in these statistics correlate to performance when localising using a past experience with the same appearance gap. We validate our approach over the Nordland cross-season dataset as well as data fromOxford'sUniversity Parks with lighting and mild seasonal change, showing excellent ability of our system to rank actual localisation performance across candidate experiences.△ Less"
Advancements in Radar Odometry,"Authors:Matteo Frosi,Mirko Usuelli,Matteo Matteucci","Abstract:…of the contribution of each improvement to the localization accuracy, and we benchmark our system on the sequences of the main datasets for radar understanding, i.e., theOxfordRadar RobotCar, MulRan, and Boreas datasets. The proposed pipeline is able to achieve superior results, on all scenarios considered and under harsh environmental constraints.▽ MoreRadar odometry estimation has emerged as a critical technique in the field of autonomous navigation, providing robust and reliable motion estimation under various environmental conditions. Despite its potential, the complex nature of radar signals and the inherent challenges associated with processing these signals have limited the widespread adoption of this technology. This paper aims to address these challenges by proposing novel improvements to an existing method for radar odometry estimation, designed to enhance accuracy and reliability in diverse scenarios. Our pipeline consists of filtering, motion compensation, oriented surface points computation, smoothing, one-to-many radar scan registration, and pose refinement. The developed method enforces local understanding of the scene, by adding additional information through smoothing techniques, and alignment of consecutive scans, as a refinement posterior to the one-to-many registration. We present an in-depth investigation of the contribution of each improvement to the localization accuracy, and we benchmark our system on the sequences of the main datasets for radar understanding, i.e., theOxfordRadar RobotCar, MulRan, and Boreas datasets. The proposed pipeline is able to achieve superior results, on all scenarios considered and under harsh environmental constraints.△ Less"
Aluminium-26 production in low- and intermediate-mass binary systems,"Authors:Zara Osborn,Amanda I. Karakas,Alex J. Kemp,Robert G. Izzard","Abstract:Aluminium-26 is a radioactive isotope which can be synthesized within asymptotic giant branch (AGB) stars, primarily through hot bottom burning. Studies exploring^{26}Al production within AGB stars typically focus on single-stars; however, observations show that low- and intermediate-mass stars commonly exist in binaries. We use the binary population synthesis code binary_c to explore the impac…▽ MoreAluminium-26 is a radioactive isotope which can be synthesized within asymptotic giant branch (AGB) stars, primarily through hot bottom burning. Studies exploring^{26}Al production within AGB stars typically focus on single-stars; however, observations show that low- and intermediate-mass stars commonly exist in binaries. We use the binary population synthesis code binary_c to explore the impact of binary evolution on^{26}Al yields at solar metallicity both within individual AGB stars and a low/intermediate-mass stellar population. We find the key stellar structural condition achieving most^{26}Al overproduction is for stars to enter the thermally-pulsing AGB (TP-AGB) phase with small cores relative to their total masses, allowing those stars to spend abnormally long times on the TP-AGB compared to single-stars of identical mass. Our population with a binary fraction of 0.75 has an^{26}Al weighted population yield increase of25\%compared to our population of only single-stars. Stellar-models calculated from the Mt Stromlo/Monash Stellar Structure Program, which we use to test our results from binary_c and closely examine the interior structure of the overproducing stars, support our binary_c results only when the stellar envelope gains mass after core-He depletion. Stars which gain mass before core-He depletion still overproduce^{26}Al, but to a lesser extent. This introduces some physical uncertainty into our conclusions as55\%of our^{26}Al overproducing stars gain envelope mass through stellar wind accretion onto pre-AGB objects. Our work highlights the need to consider binary influence on the production of^{26}Al.△ Less"
"Red Teaming Generative AI/NLP, the BB84 quantum cryptography protocol and the NIST-approved Quantum-Resistant Cryptographic Algorithms","Authors:Petar Radanliev,David De Roure,Omar Santos","Abstract:…groundwork, which this study seeks to expand upon, aiming to translate theoretical insights into actionable, real-world cybersecurity solutions. Located at the University ofOxford'stechnology precinct, the research benefits from state-of-the-art infrastructure and a rich collaborative environment. The study's overarching goal is to ensure that as t…▽ MoreIn the contemporary digital age, Quantum Computing and Artificial Intelligence (AI) convergence is reshaping the cyber landscape, introducing unprecedented opportunities and potential vulnerabilities.This research, conducted over five years, delves into the cybersecurity implications of this convergence, with a particular focus on AI/Natural Language Processing (NLP) models and quantum cryptographic protocols, notably the BB84 method and specific NIST-approved algorithms. Utilising Python and C++ as primary computational tools, the study employs a ""red teaming"" approach, simulating potential cyber-attacks to assess the robustness of quantum security measures. Preliminary research over 12 months laid the groundwork, which this study seeks to expand upon, aiming to translate theoretical insights into actionable, real-world cybersecurity solutions. Located at the University ofOxford'stechnology precinct, the research benefits from state-of-the-art infrastructure and a rich collaborative environment. The study's overarching goal is to ensure that as the digital world transitions to quantum-enhanced operations, it remains resilient against AI-driven cyber threats. The research aims to foster a safer, quantum-ready digital future through iterative testing, feedback integration, and continuous improvement. The findings are intended for broad dissemination, ensuring that the knowledge benefits academia and the global community, emphasising the responsible and secure harnessing of quantum technology.△ Less"
AI Regulation in Europe: From the AI Act to Future Regulatory Challenges,Authors:Philipp Hacker,"Abstract:This chapter provides a comprehensive discussion on AI regulation in the European Union, contrasting it with the more sectoral and self-regulatory approach in the UK. It argues for a hybrid regulatory strategy that combines elements from both philosophies, emphasizing the need for agility and safe harbors to ease compliance. The paper examines the AI Act as a pioneering legislative effort to addre…▽ MoreThis chapter provides a comprehensive discussion on AI regulation in the European Union, contrasting it with the more sectoral and self-regulatory approach in the UK. It argues for a hybrid regulatory strategy that combines elements from both philosophies, emphasizing the need for agility and safe harbors to ease compliance. The paper examines the AI Act as a pioneering legislative effort to address the multifaceted challenges posed by AI, asserting that, while the Act is a step in the right direction, it has shortcomings that could hinder the advancement of AI technologies. The paper also anticipates upcoming regulatory challenges, such as the management of toxic content, environmental concerns, and hybrid threats. It advocates for immediate action to create protocols for regulated access to high-performance, potentially open-source AI systems. Although the AI Act is a significant legislative milestone, it needs additional refinement and global collaboration for the effective governance of rapidly evolving AI technologies.△ Less"
"How weak values illuminate the role of ""hidden""-variables as predictive tools","Authors:Xabier Oianguren-Asua,Albert Solé,Carlos F. Destefani,Xavier Oriols","Abstract:In this chapter we offer an introduction to weak values from a three-fold perspective: first, outlining the protocols that enable their experimental determination; next, deriving their correlates in the quantum formalism and, finally, discussing their ontological significance according to different quantum theories or interpretations. We argue that weak values have predictive power and provide nov…▽ MoreIn this chapter we offer an introduction to weak values from a three-fold perspective: first, outlining the protocols that enable their experimental determination; next, deriving their correlates in the quantum formalism and, finally, discussing their ontological significance according to different quantum theories or interpretations. We argue that weak values have predictive power and provide novel ways to characterise quantum systems. We show that this holds true regardless of ongoing ontological disputes. And, still, we contend that certain ""hidden"" variables theories like Bohmian mechanics constitute very valuable heuristic tools for identifying informative weak values or functions thereof. To illustrate these points, we present a case study concerning quantum thermalization. We show that certain weak values, singled out by Bohmian mechanics as physically relevant, play a crucial role in elucidating the thermalization time of certain systems, whereas standard expectation values are ""blind"" to the onset of thermalization.△ Less"
Dark Side Augmentation: Generating Diverse Night Examples for Metric Learning,"Authors:Albert Mohwald,Tomas Jenicek,Ondřej Chum","Abstract:…anchor mining.
  The proposed method improves over the state-of-the-art results on a standard Tokyo 24/7 day-night retrieval benchmark while preserving the performance onOxfordand Paris datasets. This is achieved without the need of training image pairs of matching day and night images. The source code is available at https://github.com/mohwald/gandtr .▽ MoreImage retrieval methods based on CNN descriptors rely on metric learning from a large number of diverse examples of positive and negative image pairs. Domains, such as night-time images, with limited availability and variability of training data suffer from poor retrieval performance even with methods performing well on standard benchmarks. We propose to train a GAN-based synthetic-image generator, translating available day-time image examples into night images. Such a generator is used in metric learning as a form of augmentation, supplying training data to the scarce domain. Various types of generators are evaluated and analyzed. We contribute with a novel light-weight GAN architecture that enforces the consistency between the original and translated image through edge consistency. The proposed architecture also allows a simultaneous training of an edge detector that operates on both night and day images. To further increase the variability in the training examples and to maximize the generalization of the trained model, we propose a novel method of diverse anchor mining.
  The proposed method improves over the state-of-the-art results on a standard Tokyo 24/7 day-night retrieval benchmark while preserving the performance onOxfordand Paris datasets. This is achieved without the need of training image pairs of matching day and night images. The source code is available at https://github.com/mohwald/gandtr .△ Less"
Learning Dense Flow Field for Highly-accurate Cross-view Camera Localization,"Authors:Zhenbo Song,Xianghui Ze,Jianfeng Lu,Yujiao Shi","Abstract:…improvements compared to state-of-the-art methods. Notably, our approach reduces the median localization error by 89%, 19%, 80% and 35% on the KITTI, Ford multi-AV, VIGOR andOxfordRobotCar datasets, respectively.▽ MoreThis paper addresses the problem of estimating the 3-DoF camera pose for a ground-level image with respect to a satellite image that encompasses the local surroundings. We propose a novel end-to-end approach that leverages the learning of dense pixel-wise flow fields in pairs of ground and satellite images to calculate the camera pose. Our approach differs from existing methods by constructing the feature metric at the pixel level, enabling full-image supervision for learning distinctive geometric configurations and visual appearances across views. Specifically, our method employs two distinct convolution networks for ground and satellite feature extraction. Then, we project the ground feature map to the bird's eye view (BEV) using a fixed camera height assumption to achieve preliminary geometric alignment. To further establish content association between the BEV and satellite features, we introduce a residual convolution block to refine the projected BEV feature. Optical flow estimation is performed on the refined BEV feature map and the satellite feature map using flow decoder networks based on RAFT. After obtaining dense flow correspondences, we apply the least square method to filter matching inliers and regress the ground camera pose. Extensive experiments demonstrate significant improvements compared to state-of-the-art methods. Notably, our approach reduces the median localization error by 89%, 19%, 80% and 35% on the KITTI, Ford multi-AV, VIGOR andOxfordRobotCar datasets, respectively.△ Less"
Can the natural system of viruses reconcile the current taxonomy with an alternative classification useful to clinicians?,Authors:Alexandr A. Ezhov,"Abstract:In 2022, a group of basic and clinical virologists, bioinformaticians, and evolutionary and structural biologists met inOxford, UK, to develop a consensus on methodologies used to classify viruses. They concluded that virus taxonomy, which is hierarchical and based on evolution, is only one of many possible ways to classify viruses. This taxonomy, while sat…▽ MoreIn 2022, a group of basic and clinical virologists, bioinformaticians, and evolutionary and structural biologists met inOxford, UK, to develop a consensus on methodologies used to classify viruses. They concluded that virus taxonomy, which is hierarchical and based on evolution, is only one of many possible ways to classify viruses. This taxonomy, while satisfying the four principles they set out, faces difficulties in coordinating with other classification systems useful to clinicians, infectious disease specialists, agronomists, etc. One example discussed is the grouping of different viral strains that cause different diseases into the species Enterovirus C. Here we show that the use of a previously proposed variant of a natural virus classification system based on the use of Neural Replicator Analysis can resolve this contradiction by establishing the fine structure of the Enterovirus C species, in which strains that cause different diseases are placed in several different cells of the binomial table of viruses. A key element in enabling this is the sophisticated preprocessing of the original viral genomes using neural replicators.△ Less"
VPRTempo: A Fast Temporally Encoded Spiking Neural Network for Visual Place Recognition,"Authors:Adam D. Hines,Peter G. Stratton,Michael Milford,Tobias Fischer","Abstract:…Dependent Plasticity and a supervised delta learning rule enforcing that each output spiking neuron responds to just a single place. We evaluate our system on the Nordland andOxfordRobotCar benchmark localization datasets, which include up to 27k places. We found that VPRTempo's accuracy is comparable to prior SNNs and the popular NetVLAD place recogni…▽ MoreSpiking Neural Networks (SNNs) are at the forefront of neuromorphic computing thanks to their potential energy-efficiency, low latencies, and capacity for continual learning. While these capabilities are well suited for robotics tasks, SNNs have seen limited adaptation in this field thus far. This work introduces a SNN for Visual Place Recognition (VPR) that is both trainable within minutes and queryable in milliseconds, making it well suited for deployment on compute-constrained robotic systems. Our proposed system, VPRTempo, overcomes slow training and inference times using an abstracted SNN that trades biological realism for efficiency. VPRTempo employs a temporal code that determines the timing of a single spike based on a pixel's intensity, as opposed to prior SNNs relying on rate coding that determined the number of spikes; improving spike efficiency by over 100%. VPRTempo is trained using Spike-Timing Dependent Plasticity and a supervised delta learning rule enforcing that each output spiking neuron responds to just a single place. We evaluate our system on the Nordland andOxfordRobotCar benchmark localization datasets, which include up to 27k places. We found that VPRTempo's accuracy is comparable to prior SNNs and the popular NetVLAD place recognition algorithm, while being several orders of magnitude faster and suitable for real-time deployment -- with inference speeds over 50 Hz on CPU. VPRTempo could be integrated as a loop closure component for online SLAM on resource-constrained systems such as space and underwater robots.△ Less"
How to foster innovation in the social sciences? Qualitative evidence from focus group workshops atOxfordUniversity,"Authors:Fabian Braesemann,Moritz Marpe","Abstract:This report addresses challenges and opportunities for innovation in the social sciences at the University ofOxford. It summarises findings from two focus group workshops with innovation experts from the University ecosystem. Experts included successful social science entrepreneurs and professional service staff from the University. The workshops focused on…▽ MoreThis report addresses challenges and opportunities for innovation in the social sciences at the University ofOxford. It summarises findings from two focus group workshops with innovation experts from the University ecosystem. Experts included successful social science entrepreneurs and professional service staff from the University. The workshops focused on four different dimensions related to innovative activities and commercialisation. The findings show several challenges at the institutional and individual level, together with features of the social scientific discipline that impede more innovation in the social sciences. Based on identifying these challenges, we present potential solutions and ways forward identified in the focus group discussions to foster social science innovation. The report aims to illustrate the potential of innovation and commercialisation of social scientific research for both researchers and the university.△ Less"
The life and entangled adventures of Schrodinger's cat,Authors:Anthony Sudbery,"Abstract:In this lecture, intended for a general audience, I describe Schrödinger's thought experiment which was designed to show the strange results of extending the formalism of quantum theory, particularly the idea of superposition, beyond the subatomic regime. I describe a way to understand superposition in the terms of formal logic. I trace the development of Schrodinger's ideas after this thought exp…▽ MoreIn this lecture, intended for a general audience, I describe Schrödinger's thought experiment which was designed to show the strange results of extending the formalism of quantum theory, particularly the idea of superposition, beyond the subatomic regime. I describe a way to understand superposition in the terms of formal logic. I trace the development of Schrodinger's ideas after this thought experiment, and briefly sketch some work which realises it in actual experiments, and proposals for taking it further.△ Less"
Towards Content-based Pixel Retrieval in RevisitedOxfordand Paris,"Authors:Guoyuan An,Woo Jae Kim,Saelyne Yang,Rong Li,Yuchi Huo,Sung-Eui Yoon","Abstract:This paper introduces the first two pixel retrieval benchmarks. Pixel retrieval is segmented instance retrieval. Like semantic segmentation extends classification to the pixel level, pixel retrieval is an extension of image retrieval and offers information about which pixels are related to the query object. In addition to retrieving images for the given query, it helps users quickly identify the q…▽ MoreThis paper introduces the first two pixel retrieval benchmarks. Pixel retrieval is segmented instance retrieval. Like semantic segmentation extends classification to the pixel level, pixel retrieval is an extension of image retrieval and offers information about which pixels are related to the query object. In addition to retrieving images for the given query, it helps users quickly identify the query object in true positive images and exclude false positive images by denoting the correlated pixels. Our user study results show pixel-level annotation can significantly improve the user experience.
  Compared with semantic and instance segmentation, pixel retrieval requires a fine-grained recognition capability for variable-granularity targets. To this end, we propose pixel retrieval benchmarks named PROxford and PRParis, which are based on the widely used image retrieval datasets, ROxford and RParis. Three professional annotators label 5,942 images with two rounds of double-checking and refinement. Furthermore, we conduct extensive experiments and analysis on the SOTA methods in image search, image matching, detection, segmentation, and dense matching using our pixel retrieval benchmarks. Results show that the pixel retrieval task is challenging to these approaches and distinctive from existing problems, suggesting that further research can advance the content-based pixel-retrieval and thus user search experience. The datasets can be downloaded from \href{https://github.com/anguoyuan/Pixel_retrieval-Segmented_instance_retrieval}{this link}.△ Less"
Evaluating Visual Odometry Methods for Autonomous Driving in Rain,"Authors:Yu Xiang Tan,Marcel Bartholomeus Prasetyo,Mohammad Alif Daffa,Deshpande Sunny Nitin,Malika Meghjani","Abstract:…rainy weather urban driving data to evaluate their robustness. We compiled a dataset comprising of a range of rainy weather conditions from different cities. This includes, theOxfordRobotcar dataset fromOxford, the 4Seasons dataset from Munich and an internal dataset collected in Singapore. We evaluated different vi…▽ MoreThe increasing demand for autonomous vehicles has created a need for robust navigation systems that can also operate effectively in adverse weather conditions. Visual odometry is a technique used in these navigation systems, enabling the estimation of vehicle position and motion using input from onboard cameras. However, visual odometry accuracy can be significantly impacted in challenging weather conditions, such as heavy rain, snow, or fog. In this paper, we evaluate a range of visual odometry methods, including our DROID-SLAM based heuristic approach. Specifically, these algorithms are tested on both clear and rainy weather urban driving data to evaluate their robustness. We compiled a dataset comprising of a range of rainy weather conditions from different cities. This includes, theOxfordRobotcar dataset fromOxford, the 4Seasons dataset from Munich and an internal dataset collected in Singapore. We evaluated different visual odometry algorithms for both monocular and stereo camera setups using the Absolute Trajectory Error (ATE). From the range of approaches evaluated, our findings suggest that the Depth and Flow for Visual Odometry (DF-VO) algorithm with monocular setup performed the best for short range distances (< 500m) and our proposed DROID-SLAM based heuristic approach for the stereo setup performed relatively well for long-term localization. Both VO algorithms suggested a need for a more robust sensor fusion based approach for localization in rain.△ Less"
"Gas clumping in the outskirts of galaxy clusters, an assessment of the sensitivity of STAR-X","Authors:Christian T. Norseth,Daniel R. Wik,John A. ZuHone,Eric D. Miller,Marshall W. Bautz,Michael McDonald","Abstract:In the outskirts of galaxy clusters, entropy profiles measured from X-ray observations of the hot intracluster medium (ICM) drops off unexpectedly. One possible explanation for this effect is gas clumping, where pockets of cooler and denser structures within the ICM are present. Current observatories are unable to directly detect these hypothetical gas clumps. One of the science drivers of the pro…▽ MoreIn the outskirts of galaxy clusters, entropy profiles measured from X-ray observations of the hot intracluster medium (ICM) drops off unexpectedly. One possible explanation for this effect is gas clumping, where pockets of cooler and denser structures within the ICM are present. Current observatories are unable to directly detect these hypothetical gas clumps. One of the science drivers of the proposed STAR-X observatory is to resolve these or similar structures. Its high spatial resolution, large effective area, and low instrumental background make STAR-X ideal for directly detecting and characterizing clumps and diffuse emission in cluster outskirts. The aim of this work is to simulate observations of clumping in clusters to determine how well STAR-X will be able to detect clumps, as well as what clumping properties reproduce observed entropy profiles. This is achieved by using yt, pyXSIM, SOXS, and other tools to inject ideally modeled clumps into three-dimensional models derived from actual clusters using their observed profiles from other X-ray missions. Radial temperature and surface brightness profiles are then extracted from mock observations using concentric annuli. We find that in simulated observations for STAR-X, a parameter space of clump properties exists where gas clumps can be successfully identified using wavdetect and masked, and are able to recover the true cluster profiles. This demonstrates that STAR-X could be capable of detecting substructure in the outskirts of nearby clusters and that the properties of both the outskirts and the clumps will be revealed.△ Less"
Sample Complexity of Robust Learning against Evasion Attacks,Authors:Pascale Gourdeau,"Abstract:It is becoming increasingly important to understand the vulnerability of machine learning models to adversarial attacks. One of the fundamental problems in adversarial machine learning is to quantify how much training data is needed in the presence of evasion attacks, where data is corrupted at test time. In this thesis, we work with the exact-in-the-ball notion of robustness and study the feasibi…▽ MoreIt is becoming increasingly important to understand the vulnerability of machine learning models to adversarial attacks. One of the fundamental problems in adversarial machine learning is to quantify how much training data is needed in the presence of evasion attacks, where data is corrupted at test time. In this thesis, we work with the exact-in-the-ball notion of robustness and study the feasibility of adversarially robust learning from the perspective of learning theory, considering sample complexity.
  We first explore the setting where the learner has access to random examples only, and show that distributional assumptions are essential. We then focus on learning problems with distributions on the input data that satisfy a Lipschitz condition and show that robustly learning monotone conjunctions has sample complexity at least exponential in the adversary's budget (the maximum number of bits it can perturb on each input). However, if the adversary is restricted to perturbingO(\log n)bits, then one can robustly learn conjunctions and decision lists w.r.t. log-Lipschitz distributions.
  We then study learning models where the learner is given more power. We first consider local membership queries, where the learner can query the label of points near the training sample. We show that, under the uniform distribution, the exponential dependence on the adversary's budget to robustly learn conjunctions remains inevitable. We then introduce a local equivalence query oracle, which returns whether the hypothesis and target concept agree in a given region around a point in the training sample, and a counterexample if it exists. We show that if the query radius is equal to the adversary's budget, we can develop robust empirical risk minimization algorithms in the distribution-free setting. We give general query complexity upper and lower bounds, as well as for concrete concept classes.△ Less"
From RATs to riches: mitigating anthropogenic and synanthropic noise in atom interferometer searches for ultra-light dark matter,"Authors:John Carlton,Christopher McCabe","Abstract:…noise sources and examine their influence on a year-long measurement campaign by AION-10, an upcoming atom interferometer experiment that will be located at the University ofOxford. We propose a data cleaning framework that identifies and then masks anthropogenic and synanthropic noise. With this framework, we demonstrate that even in noisy conditions, the…▽ MoreAtom interferometers offer promising new avenues for detecting ultra-light dark matter (ULDM). The exceptional sensitivity of atom interferometers to fluctuations in the local gravitational potential exposes them to sources of noise from human (anthropogenic) and animal (synanthropic) activity, which may obscure signals from ULDM. We characterise potential anthropogenic and synanthropic noise sources and examine their influence on a year-long measurement campaign by AION-10, an upcoming atom interferometer experiment that will be located at the University ofOxford. We propose a data cleaning framework that identifies and then masks anthropogenic and synanthropic noise. With this framework, we demonstrate that even in noisy conditions, the sensitivity to ULDM can be restored to within between 10% and 40% of an atom shot noise-limited experiment, depending on the specific composition of the anthropogenic and synanthropic noise. This work provides an important step towards creating robust noise reduction analysis strategies in the pursuit of ULDM detection with atom interferometers.△ Less"
Robust Monocular Depth Estimation under Challenging Conditions,"Authors:Stefano Gasperini,Nils Morbitzer,HyunJun Jung,Nassir Navab,Federico Tombari","Abstract:…model to recover information across diverse conditions without modifications at inference time. Extensive experiments on two challenging public datasets, namely nuScenes andOxfordRobotCar, demonstrate the effectiveness of our techniques, outperforming prior works by a large margin in both standard and challenging conditions. Source code and data are availa…▽ MoreWhile state-of-the-art monocular depth estimation approaches achieve impressive results in ideal settings, they are highly unreliable under challenging illumination and weather conditions, such as at nighttime or in the presence of rain. In this paper, we uncover these safety-critical issues and tackle them with md4all: a simple and effective solution that works reliably under both adverse and ideal conditions, as well as for different types of learning supervision. We achieve this by exploiting the efficacy of existing methods under perfect settings. Therefore, we provide valid training signals independently of what is in the input. First, we generate a set of complex samples corresponding to the normal training ones. Then, we train the model by guiding its self- or full-supervision by feeding the generated samples and computing the standard losses on the corresponding original images. Doing so enables a single model to recover information across diverse conditions without modifications at inference time. Extensive experiments on two challenging public datasets, namely nuScenes andOxfordRobotCar, demonstrate the effectiveness of our techniques, outperforming prior works by a large margin in both standard and challenging conditions. Source code and data are available at: https://md4all.github.io.△ Less"
Canonicity and Computability in Homotopy Type Theory,Authors:Dmitry Filippov,"Abstract:This dissertation gives an overview of Martin Lof's dependant type theory, focusing on its computational content and addressing a question of possibility of fully canonical and computable semantic presentation.This dissertation gives an overview of Martin Lof's dependant type theory, focusing on its computational content and addressing a question of possibility of fully canonical and computable semantic presentation.△ Less"
A Gaia view of the optical and X-ray luminosities of compact binary millisecond pulsars,"Authors:Karri I. I. Koljonen,Manuel Linares","Abstract:In this paper, we study compact binary millisecond pulsars with low- and very low-mass companion stars (spiders) in the Galactic field, using data from the latest Gaia data release (DR3). We infer the parallax distances of the optical counterparts to spiders, which we use to estimate optical and X-ray luminosities. We compare the parallax distances to those derived from radio pulse dispersion meas…▽ MoreIn this paper, we study compact binary millisecond pulsars with low- and very low-mass companion stars (spiders) in the Galactic field, using data from the latest Gaia data release (DR3). We infer the parallax distances of the optical counterparts to spiders, which we use to estimate optical and X-ray luminosities. We compare the parallax distances to those derived from radio pulse dispersion measures and find that they have systematically larger values, by 40% on average. We also test the correlation between X-ray and spin-down luminosities, finding that most redbacks have a spin-down to X-ray luminosity conversion efficiency of $\sim$0.1%, indicating a contribution from the intrabinary shock. On the other hand, most black widows have an efficiency of $\sim$0.01%, similar to the majority of the pulsar population. Finally, we find that the bolometric optical luminosity significantly correlates with the orbital period, with a large scatter due to different irradiated stellar temperatures and binary properties. We interpret this correlation as the effect of the increasing size of the Roche Lobe radius with the orbital period. With this newly found correlation, an estimate of the optical magnitude can be obtained from the orbital period and a distance estimate.△ Less"
